SL No,Company,Country,Country Code,Market Cap,Diversity,Stock Price (2015),Stock Price (2016),Stock Price (2017),Stock Price (2018),Stock Price (2019),Stock Price (2020),Stock Price (2021),Stock Price (2022),Stock Price (2023),Stock Price (2024),Expense (2015),Expense (2016),Expense (2017),Expense (2018),Expense (2019),Expense (2020),Expense (2021),Expense (2022),Expense (2023),Expense (2024),Revenue (2015),Revenue (2016),Revenue (2017),Revenue (2018),Revenue (2019),Revenue (2020),Revenue (2021),Revenue (2022),Revenue (2023),Revenue (2024),Market share (2015),Market share (2016),Market share (2017),Market share (2018),Market share (2019),Market share (2020),Market share (2021),Market share (2022),Market share (2023),Market share (2024)
51,Demizz,Netherlands,EUR,$1.09B,23.3,$60M,n/a,$10.72B,$896.52M,n/a,$1.53B,$10.32B,$130.25M,$2.87B,$280.64M,$97095956.28,$45419416.46,$20757086.31,$87519703.96,$11583703.40,$93540005.75,$36124555.38,$62562008.98,$34003740.89,$11426149.87,$10306149.64,$53507849.42,$60055706.74,$5118588.39,$89693443.69,$79849060.75,$49620153.45,$5604439.99,$78117424.75,$80269555.05,26.24,59.21,68.88,51.74,82.1,19.35,69.39,42.83,6.8,70.65
52,Mudo,China,CNY,$3.6B,35.8,$220.68B,$255.47M,$78.03B,$1.64B,$3.55M,$251.83B,n/a,$847.88M,$6.22B,$170.21M,$63156244.01,$80230517.78,$94472944.10,$61751666.32,$47628427.60,$73301180.64,$31234938.47,$49085744.43,$32984353.36,$26282165.01,$67831619.11,$85278183.20,$21946638.83,$12137611.47,$57301619.99,$3115163.61,$30482793.44,$19264441.95,$29464438.52,$47243202.97,19.35,70.9,66.29,23.14,94.19,35.28,12.63,46.22,19.25,52.41
53,Edgewire,China,CNY,$43.94M,50.1,n/a,$618.24M,n/a,$165.72M,$176.62M,$472.1B,$1.66B,$379.12M,$4.11B,$6.29M,$44266160.47,$63117861.99,$47546644.48,$3486393.54,$29825734.47,$76255369.85,$68318275.57,$84416584.45,$54625627.79,$83794354.60,$35547848.14,$98701320.34,$77440653.42,$39432823.88,$58368991.11,$4236220.43,$90782266.46,$42359436.77,$15799987.81,$79304508.95,74.01,80.87,74.83,18.63,89.19,98.98,6.11,37.99,11.84,76.41
54,Jabbersphere,China,CNY,$97.07M,27.6,$2.07B,$865.57M,$6.27B,$101.07M,$425.82M,$36.15M,$257.8M,n/a,$228.16M,n/a,$65597129.23,$57144999.38,$3515935.45,$95331606.34,$29480232.57,$47481988.56,$1464837.00,$80166067.17,$202724.51,$95859508.23,$50893074.66,$95563375.54,$81495686.84,$88990760.82,$66790776.48,$25922892.62,$6003461.09,$55694517.49,$38228415.24,$73110539.35,66.46,46.92,26.1,49.12,78.49,11.63,11.14,86.78,35.39,18.75
55,Vidoo,Indonesia,IDR,$67.4B,80.1,n/a,$30.67B,$1.07B,$2.77B,$581.32M,$1.29B,$24.17B,$615.32M,$8.63B,n/a,$78992256.92,$43009730.25,$93593003.54,$5161956.58,$78112739.45,$39637915.07,$11503441.71,$43936991.67,$28615841.53,$8602852.04,$77670385.07,$81221234.02,$92561.26,$55965701.31,$10610753.08,$85505640.92,$20801362.00,$95642344.37,$56419134.24,$89060973.76,5.11,24.66,6.82,15.32,95.41,73.86,88.13,46.88,15.46,90.18
56,Dabvine,France,EUR,$138.19M,44.2,$330.29M,$580.2M,$596.2M,$10.18B,$369.43M,n/a,$300.24M,$402.82M,$384.22M,$16.21B,$57426686.24,$60657037.00,$97159059.19,$78201937.44,$7502803.62,$76994628.11,$41122723.89,$1087168.32,$53302888.43,$29227669.32,$73351292.83,$65512534.28,$9415264.80,$42924840.90,$83573631.42,$9425332.64,$61252376.91,$57883203.57,$46806195.90,$56516219.49,42.27,55.47,92.56,89.82,5.49,80.94,60.61,53.76,7.37,62.19
57,Vitz,China,CNY,$196.97M,75.7,n/a,$235.35M,$165.47M,$136.02M,$175.04M,$1.66B,$28.82M,$123.47M,$605.76M,$2B,$76663033.25,$44169969.49,$60858428.86,$86790256.96,$78965424.54,$33908730.16,$55395462.56,$91525702.28,$95759058.69,$88329450.35,$8099153.54,$32446588.07,$31704286.51,$83262679.63,$95454896.19,$2273409.55,$35761321.81,$13133577.64,$490966.61,$60555362.44,43.45,48.94,50.88,19.69,45.9,68.29,57.77,21.85,29.47,72.33
58,Innojam,Costa Rica,CRC,$18.22M,82.6,n/a,$51.1B,$9.79B,$234.41M,$84M,n/a,$1.54M,$264.23M,$10.64B,$733.65M,$74773550.33,$21356716.85,$61003343.21,$72936688.05,$5394908.66,$93669318.66,$89684.94,$34444257.13,$79230485.88,$44855184.52,$96475629.52,$35322445.00,$42027056.19,$95345986.38,$72128850.97,$66259989.26,$55059805.82,$84846554.91,$87005847.45,$90171997.91,69.81,33.48,73.81,59.94,13.07,79.79,19.05,37.7,86.11,91.61
59,Ntags,Thailand,THB,n/a,73.7,$2.51B,$213.58M,$20.04B,$4.33B,$32.39B,$3.77B,$18.84B,$176.92M,$11.74B,$1.15B,$13307305.12,$2945631.95,$32289371.21,$74015363.23,$61484702.47,$3467929.79,$82725782.16,$14233160.41,$92063509.17,$24009582.11,$20759984.33,$4835882.24,$40307262.75,$63488966.99,$64394465.35,$6799687.13,$85710183.53,$42990246.58,$55552879.66,$41485469.06,68.93,86.72,65.28,41.74,37.31,2.7,85.53,46.73,25.13,38.52
60,Thoughtmix,Indonesia,IDR,$644.87M,76.6,$369.43M,$26.5B,$560.06M,$5.23B,$315.92M,$1.09B,$2.39B,n/a,n/a,$558.54M,$81917232.55,$80793416.65,$977769.45,$12741645.64,$82302010.49,$75121544.85,$88276501.51,$29489804.46,$55268254.56,$23960291.60,$46896768.13,$23878060.81,$22702202.91,$41150257.37,$94556329.79,$49542805.26,$25987258.97,$56202949.67,$3926471.86,$1455790.77,77.8,65.56,88.81,42.78,54.22,98.51,72.19,4.87,1.29,99.43
61,Innotype,China,CNY,$3.4B,85.6,$15.23B,$3.07B,$73.29B,$186.02B,$895.77M,$229.85M,$737.05M,$68.49M,$527.66M,$51.95B,$71841576.74,$74054795.50,$80388599.39,$61090237.59,$13191550.02,$82540345.47,$73481287.00,$74452811.77,$57087138.12,$90454205.54,$65107871.29,$8423553.24,$4228624.58,$12903608.11,$52816289.92,$41351221.19,$23112818.55,$39277973.95,$73828432.10,$33635886.08,50.02,10.93,34.79,1.01,4.85,99.35,3.92,32.39,20.13,38.14
62,Oyoyo,Indonesia,IDR,$113.85M,65.2,$130.23M,$74.25M,$23.59B,$1.55B,n/a,$9.9M,$390.56M,$69.3M,$1.91B,$97.19M,$26110747.35,$26030226.01,$49804817.91,$45425710.71,$16052990.11,$4777573.53,$51483149.95,$79664360.43,$6174286.57,$31934166.66,$80177535.17,$59820761.80,$78796634.00,$23371797.58,$15136642.77,$31144583.59,$76235270.00,$6980758.83,$59499376.68,$99568197.15,14.86,87.39,36.19,11.42,82.28,62.07,80.84,96.65,95.96,76.31
63,Riffpath,North Korea,KPW,$73.68M,28.2,$194.94M,$5.72B,$1.15B,$108.41M,$4.57B,$2.59B,$9.32B,$27.02B,$3.33B,$78.03B,$3968744.08,$58758123.97,$62148749.05,$72278736.50,$64329073.82,$26738842.96,$15283602.00,$50416728.15,$7989078.60,$47434708.00,$5526216.74,$15120145.43,$83070748.72,$19234007.26,$21544427.17,$25219505.07,$30788446.08,$4360871.55,$91097323.63,$71123693.04,82.71,69.51,10.85,50.49,43.77,76.79,16.45,15.77,47.54,47.4
64,Yodel,Indonesia,IDR,$7.7B,97.2,$50.45M,$21.71B,$1.31B,$59.88M,$685.28M,$536.92M,$1.58B,$20.13M,$7B,$197.71M,$20025993.23,$50158713.77,$64781858.92,$87007188.81,$759384.77,$55564514.54,$74957550.33,$34323523.20,$24819719.65,$90216386.11,$68433577.79,$15013734.44,$20657803.07,$36423429.66,$38902857.65,$35364136.97,$61878711.87,$81111834.67,$82352311.85,$3627309.46,33.52,81.82,16.0,6.0,48.01,82.35,3.17,43.51,66.5,97.44
65,Babblestorm,Sweden,SEK,$219.02M,42.5,n/a,n/a,$1.79B,$347.43M,$26.98B,$731.26M,$1.54B,$34.78M,$5.26B,$13.87M,$80314605.26,$60644517.25,$51791367.39,$72481698.74,$82230997.12,$46720694.31,$64391013.49,$39042195.42,$8498500.59,$10834136.94,$12046331.71,$79093745.43,$78779525.16,$93899532.45,$78578887.16,$31864672.54,$51503112.92,$99680596.48,$45747597.91,$76806055.51,29.31,77.48,59.07,54.64,95.97,57.31,78.37,79.79,86.38,58.23
66,Talane,Indonesia,IDR,$3.74B,66.3,n/a,$43.73M,$94.05M,n/a,$1.2B,$707.25M,$848.46M,$1.87B,$2.48B,n/a,$14761720.18,$64976387.74,$93314705.56,$19321986.61,$56596611.64,$65336316.69,$38331353.93,$26509155.76,$41970331.75,$2396151.72,$1619150.03,$29836350.91,$36886568.90,$51592571.02,$81149243.04,$22728941.10,$32873719.32,$94019439.27,$70371623.28,$96630960.03,60.99,28.44,19.91,86.72,82.55,27.45,66.01,29.34,14.82,27.59
67,Kazio,Indonesia,IDR,$4.35B,59.1,n/a,n/a,$23.74B,$20.27B,$708.43M,$22.77B,n/a,$126.15M,n/a,$22.24M,$80029882.28,$39529271.61,$39161019.35,$89405128.90,$80130038.16,$58423256.31,$45492281.39,$27288134.20,$814065.76,$55526330.83,$68427849.08,$84664432.22,$98191121.56,$58583255.20,$67746582.39,$54459670.17,$51017756.25,$89560340.95,$14085669.48,$68134684.53,82.13,30.89,82.49,5.31,11.36,68.49,89.54,20.77,26.15,51.8
68,Flashset,China,CNY,$123.81M,71.7,n/a,$1.53B,$11.67B,$81.48M,$4.39M,n/a,$836.2M,$62.92M,$14.4B,$54.18B,$92953549.23,$88875957.90,$84992520.63,$62382282.88,$32898128.34,$78514718.65,$40681590.83,$30084948.90,$43306622.35,$25677760.92,$47437899.28,$41002622.22,$69758952.05,$88447338.67,$58439771.40,$18314986.10,$67907884.47,$14151473.01,$43829860.52,$54584435.54,23.06,11.02,73.85,93.99,21.76,20.73,79.84,92.14,90.44,81.46
69,Minyx,Dominican Republic,DOP,$10B,58.7,$1.09B,n/a,$6.59B,$4.24B,$2.65B,$21.14B,n/a,n/a,$1.06B,$1.89B,$39566644.51,$21906439.12,$21426812.97,$27781678.89,$86680651.17,$30246931.04,$33789948.95,$92842283.85,$92122867.31,$17010070.97,$52459604.10,$73700197.67,$4461570.54,$19257756.13,$42174197.94,$30806840.40,$46540061.76,$85554709.10,$18977095.98,$31079245.42,67.09,36.62,14.16,89.12,35.15,15.96,51.86,96.3,9.47,86.95
70,Meevee,Thailand,THB,$952.64M,82.3,$208.04M,$53.96M,$49.73M,n/a,$1.72B,$14.16B,$5.07B,$4.86B,n/a,$316.71M,$85021409.43,$93229710.26,$35564952.98,$78840185.46,$5291266.65,$35122290.06,$40658323.27,$25130634.81,$45018935.34,$89387155.74,$46523082.15,$48249428.36,$89771092.24,$30769340.62,$53716932.04,$10918785.89,$30001038.26,$76293159.92,$35613499.96,$85824622.43,83.32,59.39,90.7,50.23,25.47,33.43,97.55,55.9,46.85,84.71
71,Jabbertype,France,EUR,n/a,31.3,$66.31M,$2.21B,$403.05M,$92.34B,$7.21B,$804.76M,$389.56M,n/a,$815.13M,$1.87B,$13040845.18,$91408000.41,$63712743.62,$87314797.45,$41116567.56,$15221563.89,$4084553.52,$83831324.68,$36183796.75,$73278870.20,$55502386.27,$80773433.57,$72749296.54,$62381302.52,$60343995.24,$89949410.20,$23785419.95,$65800035.87,$50375835.17,$31160771.31,62.55,78.24,8.46,60.94,71.45,36.06,65.71,64.2,86.19,94.99
72,Realpoint,Honduras,HNL,$637.26M,37.4,$88.91M,$2.31M,$299.85M,$708.87M,n/a,$15.44B,$3.49B,n/a,$24.77B,$345.19M,$85906502.14,$27939445.12,$94754176.90,$21922054.51,$29268667.57,$55295777.16,$54165896.11,$23552840.26,$98418780.11,$83618871.51,$35312821.26,$8870495.07,$60162395.62,$93301382.18,$63841264.32,$44761490.57,$62941208.70,$87813270.05,$56566689.84,$63620114.78,80.79,47.4,21.33,52.25,75.47,77.55,47.38,8.89,84.04,97.76
73,Layo,Azerbaijan,AZN,$149.58M,68.5,n/a,$21.06B,$459.34M,$25.45M,$631.28M,$405.57M,$226.45M,$1.9B,n/a,$1.56B,$48338480.51,$45378820.30,$24130893.99,$46869840.98,$29209179.95,$95853348.40,$20865213.03,$99223025.35,$60371615.85,$42144677.71,$21370106.30,$5765574.26,$16972037.09,$19684105.33,$85421658.32,$13573906.45,$64935636.49,$25339082.65,$50137580.71,$95691116.47,32.56,59.24,83.3,76.43,22.56,37.51,1.48,24.7,78.55,8.82
74,Kamba,Portugal,EUR,n/a,90.6,$358.78M,$5.07B,$14.6B,$120.43M,n/a,$1.65B,$33.2B,$369.08M,$420.22M,$904.29M,$90898032.48,$71246333.54,$44031154.11,$61930220.81,$28209009.40,$74531569.56,$45977252.80,$30336311.10,$79651272.19,$69493641.56,$41774827.94,$11247758.50,$27114527.56,$53905445.84,$51742492.47,$74298492.61,$51337626.26,$94491244.21,$46945624.84,$45533334.42,94.09,96.56,93.71,21.07,48.78,98.23,84.11,81.97,41.2,99.28
75,Tazzy,Italy,EUR,$14.36M,21.3,$111.49M,$123.34B,$21.66M,$818.25M,$388.89M,$802.72M,$765.84M,$3.27B,$22.85B,$82.28B,$93700974.12,$27107056.15,$6671572.55,$58924352.06,$10962599.33,$38356032.79,$87756087.67,$69782570.83,$79544380.50,$10946728.70,$75052546.97,$13729332.88,$83829427.73,$22913010.03,$83309255.13,$90046977.62,$25338770.61,$4036205.99,$22845807.38,$36238674.89,44.54,21.17,20.62,91.3,57.43,40.33,26.39,69.89,64.85,55.25
76,Skynoodle,China,CNY,$339.02M,75.8,$4.5B,$15.85B,$88.58B,$1.05B,$2.38B,$471.11M,$18.66M,$25.26B,$1.54B,$220.8M,$45030503.28,$98439484.61,$2501730.82,$20679942.67,$34063777.35,$19630205.72,$45204459.50,$17515126.47,$73844152.83,$86273884.84,$23039933.48,$20885543.36,$2340360.86,$2741043.14,$17738320.32,$31611656.02,$67230788.10,$73036711.96,$52962976.88,$48044529.91,82.73,18.09,77.95,56.83,64.17,71.56,22.5,78.72,40.2,56.75
77,Thoughtstorm,China,CNY,$9.56B,64.6,$48.3M,$1.97B,$858.04M,$3.72B,$1.35B,$49.84B,$1.42B,$1.32B,$3.64M,$6.74M,$64916151.92,$81167866.57,$61185433.19,$13012531.04,$29232182.95,$84416615.65,$32755997.48,$99437756.09,$292209.44,$51221181.44,$30281590.92,$34015212.05,$23894870.47,$52198967.24,$43492766.63,$8707183.03,$77137317.38,$52066199.05,$17271021.74,$79231630.99,54.46,2.84,29.07,30.55,12.68,86.75,59.19,95.22,60.17,84.08
78,Yacero,Brazil,BRL,$23.97M,74.9,$741.96M,$18.78M,$802.93M,$2.41B,$25.45M,$4.6B,$6.42B,$7.1B,$1.45B,$1.67B,$59019162.91,$63274823.41,$508681.52,$5926645.57,$57970692.75,$34613542.98,$74443330.53,$27096401.32,$23299644.65,$92347708.88,$40825658.35,$74066865.84,$9678532.25,$19190220.38,$64554489.46,$46153295.98,$48684049.63,$25704325.84,$14361652.61,$38355135.34,25.29,19.56,89.6,1.46,97.53,36.87,35.6,42.75,82.93,47.22
79,Tagfeed,China,CNY,$51.65M,55.3,$62M,$1.59B,$68.61M,$11.65B,n/a,$605.33M,$727.12M,n/a,$152.41M,n/a,$31159632.55,$65975704.29,$11059233.10,$58763612.66,$93705306.96,$224389.47,$366936.56,$82718678.71,$19918179.55,$91020880.09,$25420701.43,$93386243.05,$35517025.65,$1070103.28,$31887254.78,$43700327.15,$71510428.09,$4714312.62,$5404066.25,$49403052.99,2.17,20.45,65.93,49.7,45.63,4.54,81.96,53.21,47.28,87.92
80,Mydeo,Madagascar,MGA,$1.15B,73.0,$12.39B,$22.51M,$9.38B,$4.88B,$83.79B,$254.84M,$47.48M,$3.55B,n/a,$225.24M,$35684591.73,$99879401.89,$63871652.96,$29045246.10,$89942378.01,$9621997.13,$96326072.56,$8393905.56,$97674127.49,$20578560.62,$98770960.53,$69094919.10,$43640530.77,$81987857.67,$57100994.75,$10794013.10,$20045995.94,$99122142.11,$65243950.51,$11636926.39,62.62,78.53,17.94,83.12,63.38,41.71,59.54,11.53,79.31,16.38
81,Edgeblab,Sweden,SEK,$7.64M,38.0,$296.84M,$29.72M,$631.28M,$94.88B,n/a,n/a,$173.85M,$12.79M,$33.78M,$785.28M,$18838455.80,$77739987.68,$67741643.24,$41605330.87,$64378770.06,$42925906.17,$46451998.87,$41145087.30,$67012717.29,$11185930.71,$93199177.34,$92372961.90,$76316821.80,$98118274.09,$28121010.15,$929211.78,$19342910.48,$78189989.74,$4904467.85,$3034551.57,91.44,22.87,76.79,94.54,23.2,34.61,29.62,81.84,82.15,19.15
82,Vinte,Portugal,EUR,$1.53B,65.5,$149.28B,$11.84B,$1.61B,$279.93M,$276.48M,$7.24M,$196.97M,n/a,$217.53M,n/a,$5553819.51,$46081283.14,$97538858.11,$17745729.88,$17560467.11,$83531328.37,$42438746.73,$61762271.09,$58477667.55,$25150807.61,$49423719.24,$7897411.15,$19475305.81,$25065894.42,$86328201.32,$74044673.83,$67360464.24,$30136490.29,$34952687.20,$72229691.25,41.23,18.45,64.21,60.05,90.3,82.08,92.75,14.06,3.83,81.92
83,Rhynyx,China,CNY,$475.29M,44.8,$62.27B,$356.57M,$79.48M,$825.03M,n/a,$8.15B,$36.8M,$8.33B,$1.57B,$3.06B,$34791094.81,$20446093.95,$72365373.94,$43197227.93,$34699961.32,$68166134.23,$94203529.78,$78695951.64,$99055651.03,$21901381.63,$17694035.94,$32936243.79,$76259076.76,$68128687.17,$91849126.65,$27324345.32,$5614653.12,$68880349.85,$84290294.83,$47633680.08,60.83,48.41,31.08,70.53,69.54,5.59,87.3,82.73,9.51,59.72
84,Layo,Afghanistan,AFN,$1.82B,89.4,$51.34B,$26.86M,$1.97B,$45.77M,$48.64M,$3.6B,$532.95M,$508.11M,n/a,$808.57M,$66177408.22,$44684153.69,$95714478.87,$82410277.70,$88665373.90,$11507125.46,$31111673.34,$38361469.64,$59753241.32,$36159791.56,$47748644.83,$10885125.18,$46406755.86,$1097450.12,$23145792.78,$24463789.24,$27161394.31,$89219101.20,$50730201.44,$77312721.12,42.21,80.39,69.46,31.96,56.65,81.13,81.18,76.67,76.35,50.38
85,Zoombox,Democratic Republic of the Congo,CDF,$161.21B,56.5,$42.85M,$1.14M,$4.4B,$88.03M,$1.04B,$5.08B,$47.7M,$725.48M,$376.32M,$184.47M,$70210318.22,$91953095.82,$56937504.67,$37275264.23,$81511843.22,$86879842.21,$78028535.41,$73960555.21,$57468931.04,$15088757.53,$44903662.25,$82625782.27,$52561426.99,$80175405.92,$80029711.57,$29045266.04,$12969990.80,$37095570.01,$31754239.87,$82181931.96,80.96,89.39,87.85,62.08,34.77,91.94,86.16,84.02,90.13,20.9
86,Yakijo,Kenya,KES,$3.3B,28.8,$19.84M,$45.09M,$578.34M,$1.9B,$142.06M,$60.84M,$2.59B,n/a,$4.34B,$21.61B,$15095858.37,$66340594.03,$37012900.94,$20543071.26,$88981459.42,$14746379.77,$40906240.08,$31325603.78,$68953470.50,$43442006.22,$28962670.58,$21200926.78,$36471729.57,$7051636.93,$92098121.07,$18611875.99,$48866964.10,$24879084.90,$18414254.39,$86518977.00,48.75,85.28,64.21,88.08,83.7,87.48,67.54,68.17,4.08,9.7
87,Muxo,France,EUR,$2.68B,25.0,n/a,$98.16M,$41.4M,$261.58M,$52.66M,$596.88M,n/a,$3.5M,$39.09M,$781.27M,$3243686.99,$46715102.10,$76224682.83,$93832496.87,$76297733.68,$66641695.73,$37271343.07,$6354279.29,$55925943.07,$12561104.19,$22150972.07,$70856986.23,$5137898.59,$60062679.05,$86296824.01,$35039063.99,$66507591.63,$12532345.28,$82805257.48,$17616001.31,59.7,21.65,95.24,71.25,71.33,4.15,50.98,53.78,47.18,98.75
88,Minyx,Indonesia,IDR,$8.74B,47.3,$4.72B,$2.09B,n/a,$315.76M,n/a,$194.79M,$665.88M,$3.07B,$1.99B,$998.43M,$81601344.85,$64566422.35,$57171742.93,$4741394.42,$8472630.39,$80778056.90,$54758080.56,$65547044.74,$84252477.15,$62457398.07,$4973377.63,$87788444.28,$86029805.37,$77826056.97,$60268576.76,$92309675.26,$24206372.49,$27893263.68,$87484165.20,$6352391.01,94.88,42.75,31.16,47.43,93.86,18.66,36.71,45.56,84.09,50.7
89,Rhyloo,Philippines,PHP,$52.17M,62.9,$4.55B,$417.48M,n/a,$2.62B,$1.23B,n/a,$611.82M,n/a,$400.41M,$3.63B,$22100997.37,$59267543.52,$25829468.35,$9529071.41,$86994783.36,$52693996.82,$72062103.75,$83698480.19,$36357896.03,$43153134.64,$96804541.01,$38908845.67,$8522239.90,$77385534.43,$31645887.38,$77822517.68,$21585133.41,$34177306.92,$1939987.29,$74106321.33,42.91,75.96,93.44,68.3,86.58,69.14,77.34,21.27,1.83,39.85
90,Skyvu,China,CNY,$1.9B,59.9,$133.85M,$72.33M,$1.84B,$474.83M,$4.84B,$12.87B,$4.34B,$17.98B,$267.88M,$19.54B,$84008528.23,$34105323.20,$776827.54,$16259181.63,$23773727.13,$45784052.86,$51645941.89,$61376785.70,$83854343.61,$39682576.99,$78897090.28,$58654699.20,$59646313.46,$35152444.35,$64185543.08,$71979079.05,$19821948.74,$35022668.12,$37381675.06,$71638253.37,15.79,69.21,75.0,69.3,38.29,38.75,93.55,9.69,25.5,91.79
91,Bubblemix,Sweden,SEK,$161.77M,64.2,$2.27B,$541.62M,$184.63M,$772.29M,$2.14B,$4.82B,n/a,$13.23B,$5.84B,n/a,$69209281.54,$86762283.06,$49593642.38,$77691976.13,$10578434.33,$67161467.68,$68609591.75,$31316666.99,$91240386.08,$41776038.57,$15384645.46,$62853692.34,$9206948.56,$63088521.32,$1292318.48,$78537382.22,$17369563.57,$59087767.46,$17361643.58,$69602071.39,76.32,31.02,74.4,6.87,63.9,40.71,87.58,46.2,21.02,36.89
92,Ozu,China,CNY,$8.47M,59.1,$146.32M,$1.9B,$42.28M,$99.71M,$42.01M,$12.97B,$5.6B,$7.58B,$24.23M,$6.48B,$17612669.65,$83563756.97,$82642894.01,$44079987.01,$20357164.73,$91781.51,$27182965.56,$56711995.73,$90183828.36,$30880909.93,$68186211.46,$88213819.97,$45128803.95,$11509832.09,$39649988.70,$51210761.69,$79654548.13,$50928554.83,$47032390.70,$2988422.96,91.13,94.0,33.43,34.41,29.66,17.15,60.74,6.91,98.73,17.93
93,Jaxnation,France,EUR,$6.28B,64.1,$5.99B,n/a,$934.3M,$63.88M,$14.36M,$415.83M,$2.46B,$13.7B,$30.09B,$54.66M,$93647508.81,$97155871.53,$20892392.44,$50931150.37,$50267972.50,$26805919.73,$93755348.78,$92648755.39,$95042422.03,$58876897.93,$92936268.00,$50661832.59,$47881650.98,$39877489.44,$77070383.79,$91559203.96,$680873.02,$7350817.39,$80876650.19,$93859125.80,58.32,62.32,24.76,65.83,49.94,18.23,75.19,12.17,82.91,66.91
94,Meetz,Philippines,PHP,$3.48B,40.3,$59.33M,$2.35B,$27.57M,n/a,$6.76B,$1.15B,$744.13M,$693.72M,$864.84M,$173.18M,$85015905.43,$60474270.65,$21489998.08,$10490076.09,$88593219.14,$10459489.55,$92565217.32,$40650447.99,$39794859.14,$43737117.13,$78574340.61,$17816699.24,$10060537.85,$84706717.04,$40533758.38,$9656781.25,$21000813.63,$70506375.23,$72146085.27,$64493071.11,8.61,25.24,51.74,18.57,27.37,52.28,23.67,14.72,98.07,84.12
95,Eimbee,Colombia,COP,$20.87M,77.3,$2.85B,$5.77B,$568.32M,$320.19M,$534.71M,$2B,$16.35M,$57.31M,$371.88M,$61M,$4718294.25,$61104793.35,$52057048.50,$29201836.11,$85872899.72,$31697491.35,$64725946.51,$98627300.37,$40736621.60,$50956961.32,$78378901.62,$71788462.58,$1033066.40,$77912516.57,$92597296.56,$21916637.94,$28750133.55,$97615274.05,$64143823.30,$69687680.86,46.33,53.66,1.49,42.71,89.28,88.8,62.18,87.26,73.37,42.35
96,Yabox,South Africa,ZAR,n/a,59.2,$345.19M,n/a,$5.18B,$220.68B,$2.5B,n/a,$29.39M,$1.02B,$858.11M,$35.1M,$85440152.19,$2152719.67,$50115331.48,$32958377.13,$591673.22,$13302113.80,$91091684.97,$67706166.51,$13903881.48,$27770471.54,$157089.35,$94128550.82,$12610247.65,$7356638.88,$90701184.29,$14235406.12,$23760437.76,$90063309.01,$52013391.78,$6025862.97,61.03,4.54,61.21,19.74,50.67,53.68,81.38,98.49,8.88,13.51
97,Jabberbean,China,CNY,$58.28M,61.5,$1.05B,$10.53B,n/a,$290.7M,$1.26B,$78.03B,$883.27M,$740.26M,$261.62M,$1.23B,$40693697.93,$9441170.68,$53307035.17,$2119541.35,$86898165.52,$28698685.35,$16948870.44,$54573426.80,$48913544.27,$77552132.65,$29512533.00,$1812102.59,$62132855.25,$95645492.96,$49396902.75,$61181434.14,$51127250.48,$96828772.82,$74663409.54,$77920239.77,86.37,74.7,50.17,27.18,85.63,46.66,99.75,86.44,74.35,87.61
98,Tagchat,Russia,RUB,n/a,73.8,$68.57B,$431.69M,$24.03B,$87.46B,$107.03M,n/a,$250.34M,$403.05M,$7.17B,$18.74B,$77534524.33,$20574644.96,$47635328.73,$27893776.71,$49177508.35,$13908320.12,$44784990.46,$77381572.74,$95563524.36,$87913847.65,$86119097.99,$4932875.75,$83118707.02,$63173796.82,$3369010.58,$2076846.52,$65213614.41,$48696928.62,$51314070.06,$9698825.40,49.48,89.11,16.5,9.64,73.45,4.97,39.78,2.97,10.89,59.5
99,Aibox,China,CNY,$21.71B,93.6,$33.49M,n/a,$60.28B,$472.51M,$37.92B,$14.78B,$45.77M,$5.09B,$16.89M,$1.46B,$82600020.06,$18217399.72,$3402213.11,$87086237.94,$83898691.05,$51308612.00,$76569287.18,$648666.29,$96161736.51,$1937110.06,$35381806.22,$23214789.12,$34036279.53,$42382422.36,$7663224.62,$11415804.51,$43681561.28,$74047868.22,$63983684.96,$3559581.72,36.07,99.16,64.8,30.88,40.52,48.26,15.74,77.98,81.2,88.98
100,Blognation,Indonesia,IDR,$896.38M,37.6,$850.59M,$89.72B,$3.37B,$2.12B,$1.72B,n/a,$403.79M,$22.46M,$1.07B,$587.52M,$32162431.57,$43394707.89,$57116352.09,$71721583.37,$47233611.14,$25311265.40,$37133903.14,$91723548.80,$30693605.63,$76662615.17,$15380456.60,$32213453.76,$53488798.48,$39434136.96,$48745011.94,$53319458.35,$94988374.27,$17436881.82,$80957337.46,$88411445.36,2.23,92.89,89.1,20.32,59.62,9.4,49.8,5.29,10.24,8.46
101,Latz,France,EUR,$146.86M,62.4,n/a,$154.26M,n/a,$27.59M,$4.61B,$50.45M,$536.19M,$672.68M,$1.06B,$842.99M,$58556218.67,$84786282.02,$17255307.64,$85285505.90,$79344488.73,$93618862.43,$28978808.94,$72349250.10,$76502671.27,$33866045.01,$81314881.07,$79077455.13,$2670066.24,$52484820.68,$26832317.35,$65543127.82,$16571929.60,$35593752.66,$6584609.68,$69188803.99,39.89,91.32,62.96,38.26,17.85,91.36,39.43,56.66,41.16,18.29
102,Vidoo,Indonesia,IDR,$132.8M,25.3,$19.68M,$31.94M,$2.64B,n/a,$11.02B,$37.85M,$89.88M,$180.27M,$758.66M,$52.53M,$95830504.06,$79500243.45,$45746447.14,$84051805.67,$8552421.46,$37317729.17,$69519175.65,$77510021.05,$14765926.54,$54074133.32,$42892708.39,$28235977.96,$57994392.82,$30485915.85,$12301881.12,$36064432.96,$43059192.16,$4804918.61,$56679967.55,$12782632.60,60.91,84.71,28.09,79.07,66.07,17.49,39.94,67.69,81.12,94.26
